personal_id,date_of_birth,sex,lives_in_region_id
1,2000-10-02,female,SSD001
2,1950-02-13,male,SSD001
3,2004-12-14,male,SSD001
4,1949-03-01,male,SSD001
5,2009-07-19,male,SSD001
6,1967-08-19,female,SSD001
7,1995-07-18,male,SSD001
8,2003-07-27,male,SSD001
9,1960-03-15,male,SSD001
10,1971-12-23,female,SSD001
11,2004-03-26,male,SSD001
12,1978-11-27,female,SSD001
13,2007-11-25,male,SSD001
14,1987-05-26,male,SSD001
15,1975-01-07,female,SSD001
16,1972-02-26,male,SSD001
17,1980-07-05,female,SSD001
18,1974-04-23,male,SSD001
19,2002-04-03,female,SSD001
20,1945-01-28,female,SSD001
21,1956-07-14,female,SSD001
22,1988-09-02,male,SSD001
23,1995-08-26,female,SSD001
24,1984-12-16,male,SSD001
25,1992-10-22,female,SSD001
26,1966-09-07,male,SSD001
27,1975-05-31,female,SSD001
28,1995-01-04,male,SSD001
29,1983-07-05,male,SSD001
30,1951-02-18,male,SSD001
31,1970-11-09,female,SSD001
32,2002-03-16,male,SSD001
33,2009-08-19,female,SSD001
34,1946-06-11,male,SSD001
35,1999-06-19,female,SSD001
36,1956-01-17,female,SSD001
37,1989-11-17,male,SSD001
38,1987-03-06,male,SSD001
39,1954-01-04,female,SSD001
40,1952-05-20,female,SSD001
41,1986-05-24,female,SSD001
42,1973-07-23,female,SSD001
43,1948-06-03,female,SSD001
44,1960-10-19,prefer not to say,SSD001
45,1989-12-04,male,SSD001
46,1971-08-21,male,SSD001
47,1946-11-15,female,SSD001
48,1979-03-10,male,SSD001
49,1967-06-29,male,SSD001
50,1979-06-23,male,SSD001
51,1970-11-12,female,SSD001
52,1987-04-28,male,SSD001
53,1999-11-06,male,SSD001
54,2007-05-09,female,SSD001
55,2007-01-18,female,SSD001
56,1995-07-02,female,SSD001
57,1957-01-18,male,SSD001
58,1971-02-11,female,SSD001
59,1994-04-18,male,SSD001
60,1964-08-26,male,SSD001
61,2000-12-01,male,SSD001
62,1986-12-19,male,SSD001
63,1944-04-19,female,SSD001
64,1989-04-14,prefer not to say,SSD001
65,1983-11-27,female,SSD001
66,1947-03-07,female,SSD001
67,2000-12-22,female,SSD001
68,2001-09-17,female,SSD001
69,1978-11-16,male,SSD001
70,1972-09-12,male,SSD001
71,1991-12-12,female,SSD001
72,1998-02-15,female,SSD001
73,1997-07-01,female,SSD001
74,1992-09-17,male,SSD001
75,1981-03-27,female,SSD001
76,1990-06-20,male,SSD001
77,1950-09-30,male,SSD001
78,1947-08-30,male,SSD001
79,1968-11-28,male,SSD001
80,1996-10-17,male,SSD001
81,1945-07-04,male,SSD001
82,1977-05-06,female,SSD001
83,1997-02-04,female,SSD001
84,1978-12-13,male,SSD001
85,1957-04-23,male,SSD001
86,1981-05-14,male,SSD001
87,1956-12-14,male,SSD001
88,2002-02-17,male,SSD001
89,1952-11-02,male,SSD001
90,1967-01-25,male,SSD001
91,1949-01-20,female,SSD001
92,1949-04-29,male,SSD001
93,1951-03-31,male,SSD001
94,1986-07-03,female,SSD001
95,2001-01-29,male,SSD001
96,1980-02-06,male,SSD001
97,1985-11-30,female,SSD001
98,2000-08-31,female,SSD001
99,1963-09-24,male,SSD001
100,2001-05-30,male,SSD001
101,1998-07-13,female,SSD001
102,1947-12-31,male,SSD001
103,1982-01-10,male,SSD001
104,1971-07-18,female,SSD001
105,1949-11-30,male,SSD001
106,1984-12-28,female,SSD001
107,1963-09-24,male,SSD001
108,1970-10-01,male,SSD001
109,1961-04-16,male,SSD001
110,1953-09-24,male,SSD001
111,1955-07-16,female,SSD001
112,1984-02-20,male,SSD001
113,1952-02-02,male,SSD001
114,2009-11-03,female,SSD001
115,1951-01-08,male,SSD001
116,1945-04-18,male,SSD001
117,1944-02-08,female,SSD001
118,1983-10-02,male,SSD001
119,2008-09-21,male,SSD001
120,1990-09-12,female,SSD001
121,2000-04-25,male,SSD001
122,1977-01-10,male,SSD001
123,1981-06-12,male,SSD001
124,1984-07-24,male,SSD001
125,1987-03-25,male,SSD001
126,2001-11-04,male,SSD001
127,1946-01-01,female,SSD001
128,1957-11-21,prefer not to say,SSD001
129,1961-10-12,prefer not to say,SSD001
130,1967-07-10,male,SSD001
131,1972-07-16,prefer not to say,SSD001
132,1947-02-20,prefer not to say,SSD001
133,1963-04-26,male,SSD001
134,1962-07-06,male,SSD001
135,1957-09-22,male,SSD001
136,1981-06-28,male,SSD001
137,1951-01-06,female,SSD001
138,1955-10-08,female,SSD001
139,2000-10-02,male,SSD001
140,2005-05-18,male,SSD001
141,1946-01-20,female,SSD001
142,2004-12-04,male,SSD001
143,1952-05-31,male,SSD001
144,1963-04-04,male,SSD001
145,1963-02-20,male,SSD001
146,1945-04-17,female,SSD001
147,1993-12-03,female,SSD001
148,1965-02-20,female,SSD001
149,1978-10-19,male,SSD001
150,1996-12-14,male,SSD001
151,1985-12-10,male,SSD001
152,1968-04-25,female,SSD001
153,1991-07-20,male,SSD001
154,1961-06-30,female,SSD001
155,1945-07-04,female,SSD001
156,1981-07-03,male,SSD001
157,1954-07-25,female,SSD001
158,1958-01-24,female,SSD001
159,1954-10-03,male,SSD001
160,1977-01-19,female,SSD001
161,1947-04-25,male,SSD001
162,1974-01-07,male,SSD001
163,2009-03-04,female,SSD001
164,1951-08-22,male,SSD001
165,1958-12-16,female,SSD001
166,1979-01-23,female,SSD001
167,1951-02-23,female,SSD001
168,2001-06-19,female,SSD001
169,1994-12-14,female,SSD001
170,1968-03-30,female,SSD001
171,1954-05-06,male,SSD001
172,1946-08-03,female,SSD001
173,1946-08-15,female,SSD001
174,2001-02-12,male,SSD001
175,1979-06-01,male,SSD001
176,1964-09-18,male,SSD001
177,1970-04-15,female,SSD001
178,2000-09-15,female,SSD001
179,2000-06-14,male,SSD001
180,1947-03-26,female,SSD001
181,1988-07-04,female,SSD001
182,1971-10-10,female,SSD001
183,1990-06-23,male,SSD001
184,1965-06-23,male,SSD001
185,1999-02-22,male,SSD001
186,1945-11-30,female,SSD001
187,1980-01-17,female,SSD001
188,1979-03-17,female,SSD001
189,1967-02-08,male,SSD001
190,1949-03-11,male,SSD001
191,2001-06-15,female,SSD001
192,1972-12-29,female,SSD001
193,1982-04-01,female,SSD001
194,1998-08-02,male,SSD001
195,1963-08-22,male,SSD001
196,1978-09-16,male,SSD001
197,1987-08-08,male,SSD001
198,1961-05-15,female,SSD001
199,1983-01-14,prefer not to say,SSD001
200,2006-12-02,prefer not to say,SSD001
201,1976-09-28,male,SSD001
202,1999-07-31,male,SSD001
203,1978-06-12,male,SSD001
204,1987-01-20,female,SSD001
205,1951-09-27,male,SSD001
206,1946-06-03,female,SSD001
207,2007-05-13,female,SSD001
208,1946-03-19,male,SSD001
209,2009-05-05,female,SSD001
210,1976-11-01,male,SSD001
211,1964-11-11,female,SSD001
212,2004-08-16,male,SSD001
213,1965-05-13,male,SSD001
214,1972-10-13,female,SSD001
215,2002-10-22,female,SSD001
216,1975-10-11,female,SSD001
217,1956-09-30,male,SSD001
218,1944-07-29,male,SSD001
219,1989-05-01,female,SSD001
220,1986-04-07,female,SSD001
221,1987-07-17,female,SSD001
222,1958-12-12,female,SSD001
223,1978-06-20,female,SSD001
224,2006-03-05,female,SSD001
225,2004-02-29,male,SSD001
226,1992-11-25,female,SSD001
227,1946-06-13,male,SSD001
228,1978-08-31,male,SSD001
229,2002-12-04,female,SSD001
230,1954-01-17,male,SSD001
231,1990-05-31,male,SSD001
232,1993-05-17,male,SSD001
233,1988-07-26,male,SSD001
234,1961-08-25,female,SSD001
235,2000-12-09,female,SSD001
236,1979-05-15,female,SSD001
237,1964-05-29,male,SSD001
238,2000-11-08,male,SSD001
239,1984-03-15,female,SSD001
240,1952-06-28,female,SSD001
241,1966-07-05,male,SSD001
242,1945-08-17,female,SSD001
243,1955-06-15,male,SSD001
244,1977-03-29,female,SSD001
245,1951-10-30,male,SSD001
246,1947-03-20,male,SSD001
247,1983-03-20,male,SSD001
248,1946-07-21,female,SSD001
249,1982-06-16,male,SSD001
250,1954-01-04,male,SSD001
251,2007-01-30,male,SSD001
252,1953-11-24,female,SSD001
253,1945-01-24,female,SSD001
254,1959-02-08,female,SSD001
255,1961-01-26,male,SSD001
256,1980-07-24,female,SSD001
257,1990-07-12,female,SSD001
258,1996-10-31,female,SSD001
259,1993-04-27,female,SSD001
260,2006-03-23,female,SSD001
261,1977-03-09,male,SSD001
262,1948-05-09,female,SSD001
263,1953-04-21,male,SSD001
264,2006-12-29,male,SSD001
265,1970-05-20,male,SSD001
266,1970-09-06,female,SSD001
267,1969-10-08,female,SSD001
268,1993-07-29,male,SSD001
269,1971-10-29,female,SSD001
270,1951-04-27,female,SSD001
271,2001-07-28,male,SSD001
272,1985-07-04,female,SSD001
273,1991-01-05,female,SSD001
274,1961-10-26,female,SSD001
275,1986-12-11,female,SSD001
