survey_id,average_time_spent_on_unpaid_domestic_and_care_work,proficiency_in_numeracy,proficiency_in_literacy,below_poverty_line,employment_status,survey_year,takes_by_personal_id
1,25,1,1,0,employed,2019,1
2,6,1,1,1,unemployed,2019,2
3,7,1,0,1,below_minimum_legal_work_age,2019,3
4,11,1,0,1,unemployed,2019,4
5,10,0,0,1,below_minimum_legal_work_age,2019,5
6,27,1,1,0,employed,2019,6
7,12,1,0,1,employed,2019,7
8,4,1,1,1,below_minimum_legal_work_age,2019,8
9,4,1,0,1,employed,2019,9
10,17,1,1,1,employed,2019,10
11,9,1,0,1,below_minimum_legal_work_age,2019,11
12,14,0,1,0,employed,2019,12
13,6,1,1,1,below_minimum_legal_work_age,2019,13
14,13,1,0,1,employed,2019,14
15,11,1,0,0,employed,2019,15
16,7,1,1,0,employed,2019,16
17,18,1,1,1,employed,2019,17
18,11,1,0,1,unemployed,2019,18
19,32,1,1,1,below_minimum_legal_work_age,2019,19
20,19,1,0,1,unemployed,2019,20
21,12,1,1,1,employed,2019,21
22,7,1,1,1,employed,2019,22
23,32,1,1,1,employed,2019,23
24,12,1,0,1,employed,2019,24
25,12,1,1,1,employed,2019,25
26,9,1,1,1,employed,2019,26
27,28,1,1,1,unemployed,2019,27
28,5,1,0,1,employed,2019,28
29,12,0,1,1,employed,2019,29
30,7,1,1,1,unemployed,2019,30
31,29,1,1,1,employed,2019,31
32,13,1,1,1,below_minimum_legal_work_age,2019,32
33,32,0,1,1,below_minimum_legal_work_age,2019,33
34,9,1,1,0,unemployed,2019,34
35,38,0,1,1,employed,2019,35
36,17,1,1,1,employed,2019,36
37,10,1,1,0,unemployed,2019,37
38,9,1,1,1,unemployed,2019,38
39,20,1,1,1,employed,2019,39
40,29,0,1,1,unemployed,2019,40
41,30,1,1,1,employed,2019,41
42,22,1,1,1,employed,2019,42
43,22,1,1,0,unemployed,2019,43
44,20,1,0,0,employed,2019,44
45,8,1,0,1,unemployed,2019,45
46,7,1,0,1,employed,2019,46
47,22,1,1,1,unemployed,2019,47
48,10,1,1,1,employed,2019,48
49,11,0,0,0,employed,2019,49
50,4,1,1,1,employed,2019,50
51,22,1,1,0,employed,2019,51
52,7,0,1,1,employed,2019,52
53,6,1,0,1,employed,2019,53
54,33,1,0,1,below_minimum_legal_work_age,2019,54
55,12,0,0,1,below_minimum_legal_work_age,2019,55
56,23,1,1,1,employed,2019,56
57,5,1,0,1,employed,2019,57
58,32,1,0,1,unemployed,2019,58
59,10,1,0,1,employed,2019,59
60,10,1,0,1,employed,2019,60
61,4,1,1,1,unemployed,2019,61
62,11,1,1,0,employed,2019,62
63,10,1,0,1,unemployed,2019,63
64,20,1,1,1,employed,2019,64
65,14,1,1,1,unemployed,2019,65
66,27,1,1,0,unemployed,2019,66
67,32,1,1,0,unemployed,2019,67
68,23,1,1,0,employed,2019,68
69,9,1,0,1,employed,2019,69
70,7,1,0,1,employed,2019,70
71,29,1,1,1,employed,2019,71
72,20,0,1,0,employed,2019,72
73,13,1,1,1,employed,2019,73
74,5,0,0,1,employed,2019,74
75,15,1,1,1,employed,2019,75
76,9,0,0,0,unemployed,2019,76
77,11,0,0,1,unemployed,2019,77
78,6,1,0,1,unemployed,2019,78
79,9,0,0,1,employed,2019,79
80,5,1,1,0,employed,2019,80
81,12,0,1,1,unemployed,2019,81
82,20,1,1,1,employed,2019,82
83,38,0,0,0,unemployed,2019,83
84,9,1,0,1,unemployed,2019,84
85,6,1,1,1,employed,2019,85
86,10,1,0,1,employed,2019,86
87,9,1,0,1,unemployed,2019,87
88,8,1,0,1,below_minimum_legal_work_age,2019,88
89,8,1,1,1,unemployed,2019,89
90,6,1,1,1,unemployed,2019,90
91,35,0,0,1,unemployed,2019,91
92,10,1,1,1,unemployed,2019,92
93,4,1,0,0,unemployed,2019,93
94,38,1,0,1,unemployed,2019,94
95,10,1,1,1,employed,2019,95
96,5,0,0,1,unemployed,2019,96
97,30,1,1,1,employed,2019,97
98,24,1,1,1,employed,2019,98
99,5,1,1,1,employed,2019,99
100,11,1,1,1,employed,2019,100
101,30,1,1,0,employed,2019,101
102,4,1,1,1,unemployed,2019,102
103,13,0,1,1,employed,2019,103
